TEXT;SENTIMEN
 kalo udah  sertif  belom peduli lindungi gimana mending pilih vaksin aja tetep  uploadnya sertif vaksin doang ;Positif
 kalo search engine bug kaya peduli lindungi mending gausa deh ;Negatif
 covid takut koar pemerintah slogan peduli lindungi serangan mematikan covid divaksin  sekalianpun biaya triliyunan orderan vaksin ;Negatif
 coba daftar peduli lindungi ;Positif
 kalo bank masi scan peduli lindungi ;Positif
 akuu kasmaran bersetifikatt peduli_lindungi lohh xab xab xab ;Positif
 alesannya blm vaksin kalo vaksin minjem akun peduli lindungi ;Positif
 sepupu minjem app peduli lindungi anjir aneh bgt isinya data pribadi ;Negatif
 aplikasi nih peduli lindungi lol ;Negatif
 pedulimu peduli lindungi ;Positif
 peduli lindungi shani mempan xbc ;Positif
 peduli lindungi copy this ;Positif
 tolong rilis peduli lindungi shani ;Positif
 cape bgt grgr ketawa liat shani brutal bgt tiktoknya triarona peduli lindungi shani      xbd ;Positif
 peduli lindungi owen  ;Positif
 ngga peduliin gue gue peduli lindungi ;Positif
 tetangga nakes gak sengaja nyeplos gak vaksin gak pake peduli lindungi asli palsu aja masuk mall nmuka langsung kayak gini nih ;Negatif
 peduli lindungi shani    ;Positif
 update tweet gaada peduli lindungi  ;Positif
 dikon isi peduli lindungi sih adek adek discan ;Positif
 peduliku peduliku peduli lindungi xbc ;Positif
 buruan ijo kekk peduli lindungi guee ;Positif
 vaksin  takut bgt karna cerita sodaraku sakitnya sampe minggu    butuh cek peduli lindungi udh gabisa ;Positif
 jam sore kelar kelas body pump sehat nlalu jam sore notif hasil covid peduli lindungi gua positif covid namazed puji tuhan sehat amazed segitu bias virus covid ;Positif
 dibuatkan peduli lindungi sapi sapi vaksin gak pasar hewan ;Negatif
 ouh judul nya peduli lindungi ;Positif
 lupa instal peduli lindungi sean ;Positif
 pembatas lepas pakai masker scan peduli lindungi nkalau minggu jam pagi malam registrasi ;Positif
 peduliku peduli lindungi nhehehehe ;Positif
 smoga akun peduli lindungi error ;Negatif
 detektif conan install aplikasi peduli lindungi gak masuk ;Positif
 aplikasi peduli lindungi gak peduli peduli banget melindungi jol hese ;Positif
 aja salah nik gitu punyaku udah vaksin peduli lindungi belom vaksin vaksinnya bgt tempatku ;Positif
 peduli lindungi dsr pengangguran ;Negatif
 sender blom vaksin peduli lindungi sender udah dapet sertifikat vaksin yaa sender dapet vaksin ghaib ;Positif
 shani butuh peduli lindungi shani  ;Positif
 ness pke peduli lindungi mesti  ;Positif
 peduli lindungi srry kalo egk lucu ;Positif
 hubunganmu peduli lindungi ;Positif
 peduli lindungi dik ;Positif
 ewita cek peli peduli lindungi ;Positif
 gua blom  rencananya sih besok rabu deh kalo ngga sibuk gua masuk salah mall jakarta pas gua scan peduli lindungi gua tanda alias gabisa masuk gua bilang satpamnya ;Negatif
 kmren langsung masuk aja scan peduli lindungi ;Positif
 mood  bgt ngikutin keluarganya mima nya lulu  xab ngakuat bgtt leica tipu amerika gratis hubungin jokowi peduli lindungi anaknya beneran nyari nomernya peduli lindungi   xab xab xab ;Positif
 bebas duwe peduli lindungi ;Positif
 entar pas gerbang surganya akun peduli lindungi gak ;Positif
 nanya peduli lindungi ;Positif
 pake scan peduli lindungi kalo gaada sertifikat vaksin kalo gaada test antigen ;Positif
 udah  belon coba buktikan udah vaksin aplikasi peduli lindungi kebanyakan bacot bukti buktikan mininal aplikasi peduli lindungilu kayak orang udah di kayak gini punyalu bacot ;Positif
 yth hut nkalau vaksin ketiga dst berkuasa npeduli lindungi mainan ;Negatif
 mog dicek suhu skan peduli lindungi doanh ;Positif
 baca thread app peduli lindungi ngak twitter teguh aprianto ;Positif
 udah vaks boost masuk peduli lindungi besok mall masuk nggak sih ;Positif
 kemarin scan peduli lindungi ;Positif
 peduli lindungi tolol bet anjing ngeklaim sertifikat aja plerr ;Negatif
 daftar peduli lindungi ktp nggak tau kebodohan nesha nomor handphone terhubung whatsapp ngapain kontak whatsapp gue lol nggak tau diketawain rip privacy ;Positif
 wogh kaum peduli lindungi ;Positif
 sertif gangaruhh pas scan peduli lindungi nya ijo ;Positif
 bye aing blm  peduli lindungi ijo ;Positif
 status peduli lindungi nya hitam amp;Positif
 masuk kategori jadul xiaomi kamera udah nyala repot scan peduli lindungi kalo dapet oppo reno perihal diatas otomatis teratasi mintobagiopporeno ;Positif
 owalah pantes bukti antigen yee pas positive auto masuk peduli lindungi iya item dapet obat kemenkes ;Positif
 tetao pakai peduli lindungi cuman setau aman kak ;Positif
 ketahuan nik lapor kemenkes pas positif peduli lindungi item kalo lapor ;Positif
 nder tetep scan peduli lindungi ;Positif
 pegawe sblm gak nyuruh org sblmny check peduli lindungi huft ;Negatif
 jaringan kuat lemot pas mall scan peduli lindungi ama bayar belanjaan hypermart ;Positif
 ajg tpt makan keluarga gue doang disuruh check peduli lindungi npdhl dlm restonya udh penuh nliterally org check aneh bgt ;Negatif
 gabisa pake peduli lindungi coba hubungin nya deh urus trs dapet tiket kartu vaksinnya ;Positif
 peduli lindungi bah ;Positif
 masuk mesti cek suhu vaksin peduli lindungi yes biar aman nyaman petugas jaga kalo blm ngerti nfyi rumah sakit dikenal memiliki teknologi canggih rspremierbintaro sarafkejepit ;Positif
 ambulans amanah rakyat indonesia peduli odoj evakuasi korban perang jalur gaza bismillah moga allah lindungi panjatkan doa doakan anak anak gaza agresi penjajah gaza agustus memasuki meninggal org warga gaza cedera kemkes palestina ;Positif
 peduli lindungi sertifnya ;Positif
 gaes kemarin wisudaa masuk pake peduli lindungi nya cuman scan aja pemeriksaan ;Positif
 peduli lindungi kaa ;Positif
 ogak wingi mlebu gak scan peduli lindungi mergo mburine matahari  ;Positif
 pake peduli lindungi gak masuknya    ;Positif
 peduli lindungi detect ayen ;Negatif
 gak daftar peduli lindungi ;Positif
 butuh jasa vaksin joki vaksin vaksin tembus peduli lindungi chat aja dibayar sertif masuk pedulilindungi zonauang xef ;Negatif
 plot twist bgt gua pikir genta genta ngeselin banget sih gue semoga kena razia vaksin trus peduli lindungi buka ;Positif
 tunjukin via aja gpp tinggal buka peduli lindungi check scan barcode lokasi check nya ;Positif
 krl scan peduli lindungi min makasih ;Positif
 hadeh peduli lindungi ;Negatif
 coba menyerahkan beralasan swab pcr sehabis pulang magelang aja udah dicurigain emng beneran swab terdaftar peduli lindungi alias siapsiap ngebunuh  ;Negatif
 backend peduli lindungi verifikasi uid tsb user valid check check out nkalau party dikasih nik nya response make sense ;Positif
 menolak mandatory vaksin mendukung gugatan pemaksaan aplikasi peduli lindungi ;Negatif
 bawa tas tas gede pas masuk dlm gedung scan peduli lindungi gak tuh ;Positif
 banget lupa check out peduli lindungi ;Positif
 innalillahi nkok kepikiran bawa anaknya nkejadiannya pertandingan perjalanan pertandingan nonton pertandingannya aja udah dibilangin bawa anak masuk peduli lindungi naaah kunaon sih jelema teh ;Negatif
 login peduli lindungi ;Positif
 gak tau  gemini indonesia butuh peduli lindungi khusus kayaknya biar anti bully ;Positif
 penasaran baca sampe sampein salam yaa anak hebat kuat banget semoga lindungi tuhan makasih udah orang peduli peka orang lingkungan ;Positif
 beneran deh degdegan kalo udah mall peduli lindungi tetiba ngecrash kayak gitu tuh ngerasain sampe diketawain mentemen  ;Positif
 wak pinjem akun peduli lindungi udah  susah kali kemana wakk ;Negatif
 semoga dapet tiket bot pas scan peduli lindungi nya error merah ;Negatif
 install peduli lindungi ;Positif
 dah sampe dpan perumahanmu tpi plang peduli lindungi muter cari jalan tikus liat satpamnya pas bru tncap ;Positif
 bener biel peduli lindungi  ;Positif
 nontn bioskop skrg pake peduli lindungi gak sih geh serius nanya ;Positif
 indonesia mengarah data medis terintegrasi nasional kemana berobat data medis diakses memudahkan pengobatan ndata medis terintegrasi aplikasi peduli lindungi nkeren ;Positif
 trs misskom gabisa dihubungi mepet trs degdegan ngescan peduli lindungi trs masuk anxiety bingung foto dmn aja udh capek ngapusin foto gapenting trs memo masi penuh pilihin foto upload hapusin gagal trs capek pusing nonton ;Positif
 peduli lindungi bocil gembul apolojistojek jekdeserpbeter weloveujake ;Positif
 halo kak sesuai satgas covid penumpang vaksin  rute domestik diwajibkan melampirkan hasil negatif covid mengisi formulir ehac aplikasi peduli lindungi tks lucas ;Positif
 ngga peduli lindungi aja udah masuk ;Positif
 masuk mall aja pake boster tujuan peduli lindungi sih ;Negatif
 pcr hasil masi positif tuh gimana cerita minggu positif  npeduli lindungi forever item gmn  ;Negatif
 selamat malam kak perjalanan lokal diwajibkan menyertakan hasil negatif rapid test antigen pcr calon penumpang menunjukan sertifkat vaksin dosis aplikasi peduli lindungi ;Positif
 scan peduli lindungi doang trs turun pake eskalator ;Positif
 undang bikinan manusia aja melaksanakannya paksaan lha undang tuhan paksakan paksakan terbiasa agamanya neeh aturan peduli lindungi vaksin dipaksakan dipaksakan kali ;Negatif
 gua scan peduli lindungi mall ;Positif
 peduli lindungi formalitas ;Negatif
 mending download peduli lindungi gojek shopee dll peduli lindungi gausah ribet ;Positif
 pake peduli lindungi sih ;Positif
 iya kemaren matos loss yak pake acara check peduli lindungi masuk masuk aja gitu beda kayak mog dicek pas capek kali securitynya pas mog pas dpt security bener kerjanya ;Positif
 halo kak perihal divaksin sesuai satgas covid terkait persyaratan penerbangan wni usia tujuan negeri wajib vaksin  aplikasi peduli lindungi ;Positif
 peduli lindungi bentuknya kartu ;Positif
 gue udah gapernah scan scan peduli lindungi bodo ;Negatif
 halo kak sesuai satgas covid penumpang vaksin diwajibkan melampirkan hasil negatif pcr jam mengisi formulir ehac aplikasi peduli lindungi tks lucas ;Positif
 peduli lindungi nya kali bunda ;Positif
 iya ketauan klo blum  peduli lindungi nya kuning hijau gitu ;Positif
 wokey sip info ditmawa disuru nyiapin app peduli lindungi ;Positif
 peduli lindungi merah tanda serunya gatau dibolehin masuk engga ;Positif
 kmrn pas ambil prasaan gaada scan peduli lindungi ;Positif
 rek pas ambil almet pake scan peduli lindungi minimal vaksin dosis unair ;Positif
 oalah berkaitan peduli lindungi ayahku cepet sorry kak gabisa bantu semoga ;Positif
 coba cek nama udah sesuai peduli lindungi nder ;Positif
 klo masuk lokasi kantor nya cek suhu scan peduli lindungi pakai syarat boster ;Positif
 scan peduli lindungi tok ;Positif
 kalo butuh akuu yaa dosis kelar harian auto detect aplikasi peduli lindungi ;Positif
 valid vendor kadang tunjukkin doang kaya check peduli lindungi aja screenshot temen ;Positif
 suruh register akun wajib install peduli lindungi ;Positif
 membagikan lightstick gratis gate pemeriksaan tiket penonton xbc xef ntunjukkan gelang tiket akses scan peduli lindungi klaim lightstick gratisnya xef ;Positif
 scan login peduli lindungi kalo layer auth tambahan sih kayaknya kayaknya sih ;Positif
 verifikasi nya pake nik nama lengkap doang kah layer auth scan sorry pake app peduli lindungi nkalo pake nik nama lengkap mah sih nik seprivate ;Positif
 iya bener lumayan peduli lindungi ndak sih alpukat ;Positif
 ibadah site pendaftaran persiapkan aplikasi peduli lindungi patuhi protokol kesehatan permohonan doa klik nkesaksian natau hubungi center gms surabaya ;Positif
 maunya sih gitu gmn donk ntar gak peduli lindungi birokrasi ;Positif
 tiket nya sih peduli lindungi ;Positif
 klo jgja nih wkwkwk tinggal nganu suhu doang masuk skarang udah jarang scan peduli lindungi ;Positif
 misi abang nya ntadi disuruh masukin akun ssjyp peduli lindungi ;Positif
 lupa patuhi prokes kartu peduli lindungi masuk event pesta rakyat simpedes karawang berbagimaknaseindonesia ;Positif
 wow pengganti apk peduli lindungi ;Positif
 menarikk toped scannya karna malaz download peduli lindungi ;Positif
 ambulans amanah rakyat indonesia peduli odoj evakuasi korban perang jalur gaza bismillah moga allah lindungi panjatkan doa doakan anak anak gaza ;Positif
 satuan tugas satgas peduli pekerja migran indonesia projo diharapkan kontribusi upaya kemajuan indonesia melindungi pekerja migran projo jokowi ;Positif
 min mohon info peduli lindungi status hitam surat pcr terbang min krn kota help ;Positif
 untung gak login peduli lindungi apk market place ;Positif
 kasian engga ngerti dibicarakan njd gini data peduli lindungi bobol orang vaksin pakai nik orng udah vaksin check gitu lho ;Negatif
 nama udah sesuai peduli lindungi ;Positif
 peduli lindungi gugat krn data pribadi terenkripsi menurutmu piye ;Negatif
 program beli minyak goreng pakai aplikasi peduli lindungi wamendag jerry ganggu aktifitas pedagang ;Negatif
 cah masuk cgv pakai app peduli lindungi engga nplis cah ;Positif
 kada ditakuni nder scan peduli lindungi kada semalam ;Positif
 data diupdate tergantung respon aplikasi peduli lindungi sistem kai railmin sarankan keberangkatan kartu sertifikat vaksin aplikasi peduli lindungi trims ;Positif
 pake peduli lindungi gojek gmn ;Positif
 ditakuni vaksin scan peduli lindungi mun sung psti ditakuni ;Positif
 aplikasi peduli lindungi aman aplikasi ketiga aman ;Positif
 terima kasih penjelasannya aplikasi peduli lindungi peduli melindungi data penggunanya sila disimak man teman utas ;Positif
 gratis mek masuk pake peduli lindungi tok ;Positif
 cah info masuk golden swalayan pake apk peduli lindungi makasih ;Positif
 mksd nya jalur blkg mbak pakai peduli lindungi gmn manfaatnya ;Positif
 bapaknya vaksin app peduli lindungi trs anaknya campak  datanya masuk kemana ;Positif
 scannya peduli lindungi jga nder disitu ketahuan tuh udh kali vaksin ;Positif
 ohh peduli lindungi kak ;Positif
 tpi pengalaman gue indo tuh gampang giliran masuk indo susah bule sampe nanya you know peduli lindungi tau ;Negatif
 visit records gini kek peduli lindungi indo aja ngeless ;Positif
 tergantung kapasitasnya kepsek maksain makai hijab karna otoritas disekolah mendagri maksain makai aplikasi peduli lindungi otoritasnya presiden maksain infrastruktur krna otoritasnya bedanya pdhal kepsek prngaruhnya ;Negatif
 mari lindungi peduli kesehatan anak dgn protokol kesehatan wujudrasaamantertib nhadir ciptakan sitkamtibmas ;Positif
 bikin nama peduli lindungi ngikik ngikik kebayang singkatan nama aplikasinya ndak ;Negatif
 sisa covid tubuh peduli lindungi dah bis check ;Positif
 sego usus karo bahas peduli lindungi ;Positif
 gampangg cek aja data imigrasi yujuan kemana trus cek data kemlu ajukan visa kemana cek data penumpang makskapai cek data hac peduli lindungi trust worked ;Positif
 singkatannya peli dipikir dudung peduli lindungi ;Negatif
 bssn kominfo aplikasi peduli lindungi aman datanya dienkripsi napakah dienkripsi sisi aplikasi jawabannya npeduli lindungi getcontact ntanpa enkripsi dienkripsi http ;Negatif
 dips kartu vaksin hilang peduli lindungi keterangan mengikuti vaksin  nggak makasih ;Positif
 meenn  black squad peduli lindungi ;Positif
 dah vaksin kali nya peduli lindungi ;Negatif
 peduli lindungi masihb playstore ;Positif
 parahh nder sempet rame apk peduli lindungi tetep ncmiiw ;Negatif
 iyakah emg muncul peduli lindungi ;Positif
 peduli lindungi bermannfaat jalur nih ;Negatif
 bener kagak pakai peduli lindungi mah aplikasi tipu tipu penguasa ;Negatif
 ape dituyul peduli lindungi duwe program give away gus wkwk ;Positif
 alhamdulillah terdaftar aplikasi peduli lindungi ;Positif
 jam layanan pcr stasiun gambir wib lokasinya parkir barat stasiun gambir tarif hasil pemeriksaan dicek via email dicantumkan pendaftaran aplikasi peduli lindungi trims ;Positif
 wingi dikon scan peduli lindungi ;Positif
 scan peduli lindungi nder masuk ;Positif
 kayanya gua kmrn pas nntn disuruh scan peduli lindungi ;Positif
 iyaa skrg scan peduli lindungi blm  warnanya kuning ;Positif
 scan peduli lindungi ;Positif
 maksudnya peduli lindungi ;Positif
 yauda besok daftarin maling nya peduli lindungi aja ;Negatif
 kpan peduli lindungi item ;Positif
 dompet peduli lindungi wallet ;Positif
 cek peduli lindungi coba tiket vaksinnya udah tinggal nunjukin puskesmasnya nnti proses ;Positif
 nonton cgv skali ditanyain  trus parahnya ruame bgt pake peduli lindungi kayanya lolos smua blum vaksin asli penuh bgt ngeri sedap ;Positif
 udah download apk peduli lindungi kirain peduliin dilindungi aja cuekin huhuhu ;Positif
 peduli lindungi flop ;Negatif
 kyknya kmu akn dilindungi peduli lindungi nder ;Positif
 tergantung kebijakan mall nya sih kak peduli lindungi gagal cek statusnya kuning nkalau mall nya ketat masuk ;Positif
 dipakai utk cek peduli lindungi ;Positif
 mohon maaf kak bukanya peduli lindungi udah gak aman datanya udah diretas ;Negatif
 muncul peduli lindungi aja privasi data ;Negatif
 yehh ngapain peduli peduli lindungi sono ;Positif
 plis cintai kasihi han jisung kampanye peduli lindungi hanjiji seoraya ;Positif
 ngobrol gak ribut wajar sih kalo pake dalih penyebaran covid penumpang dah pake masker dah scan peduli lindungi tau vaksin ;Positif
 lucu anjir maaf gue abis install peduli lindungi ;Positif
 gatau deh kak jastip kemaren justin bieber data tuh sinkron peduli lindungi akun nama ;Positif
  cuman dibawah vaksin info cek peduli lindungi cmiiw ;Positif
 proyek triliyunan kaya peduli lindungi aja ;Negatif
 kanan peduli lindungi responsenya enkripsi long kapabilitas kirim req body sesuai requirement servernya udah gather data apapun berdasarkan response bodynya ;Negatif
 peduli lindungi jgn lupa yah kak ;Positif
 blm udah cek peduli lindungi ;Positif
 install peduli lindungi sdh kepepet butuh uninstall masi rentan logout aplikasi ketiga tdk potensi tdk aman serius nanya ;Negatif
 fair response encryption susah yaa kalo end nya encrypted oke sih response response web sulit diencrypt don know abt peduli lindungi but sure hell from tokop end encrypted ;Negatif
 kalo peduli lindungi butuh ;Positif
 cek peduli lindungi keknya ;Positif
 cuman twitter peduli setau ogut peduli cuman peduli lindungi ;Positif
 nnti pelabuhan tinggal beli aja lsng arah pintu masuk jam ready trs jurusan bali jgn lupa yah siapkan peduli lindungi nnti tiketnya lsng dicetak jarak tempuhnya sejam ;Positif
 berharap masuk venue wajib check peduli lindungi sih ribet wna ;Positif
 kayaknya akses peduli lindungi wajib   check nya orange kuning gitu masuk ncuma check peduli lindungi mall check security nya tergantung keberuntungan wkwk ;Positif
 gaes ayah belom vaksin penyakit gitu gimana atuh gaboleh masuk polban scan peduli lindungi teaa   anak advo bantu pliss ;Positif
 cek aplikasi peduli lindungi ;Positif
 haloo selamat membaca peduli lindungi aplikasi ketiga tokopedia amp;Positif
 selamat malam kak vaksin dibuktikan via aplikasi peduli lindungi terkendala aplikasi peduli lindungi menunjukan kartu vaksin trims ;Positif
